trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",30,12,-72.41990476924718,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,4,-91.09213961829344,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,0,-105.2651279214387,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-246.53172499983205,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 5}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,0,-15.750054213316892,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,2,-78.3342771941073,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,0,-86.52963475272857,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-42.470746205710995,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,7,-11.247269040491267,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,19,-0.4402237032367069,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,11,-16.582551541884165,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,6,-41.272789500192246,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",30,0,-70.76738365471394,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,13,-51.817842749222066,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",35,5,-187.27022796388454,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,14.736343964770564,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-72.54204466800012,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",30,18,-19.747629795042364,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",30,0,-141.65765293160314,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,0,-150.9052889830542,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",35,8,-15.439873186993639,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,2,16.110947665048418,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,13,-42.727383799938494,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,13,5.648150885590297,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
